text
Musa’ su ínu
Lokah su ga
Maniq la saku  la
Musa  ku  qumah
Ima'  lalú  su ?
Ta  su  kin  zíboq ? 
Sgaya ta’ la
pkita ta tai spayat ryax sa rehay enial ?
pkita ta lozi ki
cyux maki la sa ngasal mu
Cisal ta cikay lao
Mincisal ta sraral wa ?
Pucing seqani ke maku
mhway su balay
cyux si ngyaw ngyaw
nalu wahán su ?
Uzyay Ktul mu
M’uzyay sa qu la
cyux tmutu ruma i yaba' maku.
‘ngraowi ki!
pyaray misu laki ha
pyaray misu lai
Salu’ roziq su ka
Cyux ‘pxan btunu ku qba’ nya la
Yugaw mu cikay ku lukusumu
Abi’ saku  cikay  ha
pqutay  misu  cikay  ha
Nyux m’unu la
musa’ ku mzyup qsya’
bhyun mu ‘laqi qani
Kya pila mu
K’ya kya bila nya
Cyux maki kya
Cyux maki inu ku qbubu ?
Salu cikay
s’alu’ saku nya bila
Minqutux saku kmal bhut
baq saku lmpuw bhut
bhut ku nyux maku skayal
bhut ku skayal maku
Minqutux kmayal bhut ku ‘laqi qani
Minqutux lmpuw mqeru’ bhut ku ‘laqi qani
Minqutux kmayal yaya maku ku ‘laqi qani
Minqutux lmpuw yaya nya ku ‘laqi qani
Minqutux lmpuw meqeru ngli ku ‘laqi qani
Minqutux lmpuw mbitu yobun ku ‘laqi qani
Minqutux lmpuw bitu guru ku ‘laqi qani
Minqutux lmpuw mqeru’ ngau ku ‘laqi qani
Minqutux lmpuw ngta qasa ku ‘laqi qani
Minqutux lmpuw  bitu  hibux ku ‘laqi  qani
Minqutux lmpuw tzyu abaw ku ‘laqi qani
Minqutux lmpuw hongu’ utux ku ‘laqi qani
Aras sbin su
Wal magal ina i Sayun la
cyux mkmi’ roziq i Sayun
Cyux s’galak lukus suka
Wal nya sliqun niqun maku
Wal nya qriqun bila maku
Wal ktan Wasiq i Sayun
Wal mu ketan i su la
Cyux m’klawi la
Cyux maki lukus te ngsal ni Tali
Kya lukus i Tali
Khopa iyal pupul qasa
ttucin cikay blihun qasa
Khopa iyal papak nya
Klhangan maku ku hiya’
Laxay mu la
Cyux ini suling syam ku ‘laqi qani
Ini slini ‘laqi qani ku syam
Klhangi cikay hiya’
Laxi zngi maras sbin suxan
Wal su s’lwan la
cinkita’ su kli pi?
Qmi iyu’ qasa
Cyux qmun maniq mami’ i Tali
Wal mu qmun iyu’ mu la
ini mu niqi qasa hiya’ ha
zzik balay ku bling qani
Laxi saku zngi ki
Klmangai maku hiya’
Ima' lalu ni yaki nya
Qani ga qmayah ni yaki mu
Musa gopi kəwau qasa
Ima' ku knerin qasa
Ina’ ne ima' ku knerin qasa
Negop myan shera la
Mtehway balay i Atun hiya’
Laxi kbingan
Laxi k’yaqih！
Musa sm’an neta su
Ikay mami’ qani
Niqaw mu mami qani
Ikay mami’ qani niqaw mu
Balay niqun sumun knalay nha
Wal mehuqin huzil qasa la
Kya kebehun lukus nya
Bheli huzin nya
Lhebaw balay ku lalau qani
Khopa iyal yamin nya
Khopa iyal lukus nya
Wagiq iyal lwax qani
wal mhuqil qoli’ ka blak tunux nya qasa
Wal mu hangalan kbehun btunux
Cyux mtzyaw inu i yaba' su
msyam iyal syam qani
Wal bziran ni yaba' ku rhzyal qani
Nanu pcywagun su ?
Nanu cyux su pcywagun ?
Wal sgaliq lukus yaba' la
Pira kawas yaba' su la
